"Year","Sex","Age Group","County and HSE Region","In-Patients (Number)","Daycases (Number)","In-Patients and Daycases (Number)","Average Length of Stay (Rate)","In-Patient Bed-Days (Number)","Median Length of Stay (Number)","Per 1,000 Population (Rate)"
"2017","Both sexes","0 - 14 years","Dublin City and County","17593","12683","30276","4","70373","2","115.74"
"2017","Both sexes","0 - 14 years","Kildare","3537","2449","5986","3.81","13477","2","109.58"
"2017","Both sexes","0 - 14 years","Limerick","3509","2001","5510","3.65","12809","2","139.1"
"2017","Both sexes","0 - 14 years","Galway","4518","2924","7442","3.74","16893","1","137.91"
"2017","Both sexes","15 - 24 years","Dublin City and County","10326","11599","21925","3.32","34247","2","132.31"
"2017","Both sexes","15 - 24 years","Kildare","2189","1697","3886","3.01","6593","1","136.04"
"2017","Both sexes","15 - 24 years","Limerick","2174","986","3160","2.92","6348","1","125.47"
"2017","Both sexes","15 - 24 years","Galway","2807","1855","4662","2.47","6935","1","146.64"
"2017","Both sexes","25 - 34 years","Dublin City and County","24545","28095","52640","3.14","77174","2","229.24"
"2017","Both sexes","25 - 34 years","Kildare","4654","3608","8262","2.85","13247","2","287.9"
"2017","Both sexes","25 - 34 years","Limerick","3860","2157","6017","3.38","13048","2","234.54"
"2017","Both sexes","25 - 34 years","Galway","5289","4509","9798","2.7","14283","2","301.09"
"2017","Both sexes","35 - 44 years","Dublin City and County","22387","38393","60780","4.16","93054","2","269.4"
"2017","Both sexes","35 - 44 years","Kildare","4387","5683","10070","3.76","16515","2","258.3"
"2017","Both sexes","35 - 44 years","Limerick","3802","4158","7960","3.71","14122","2","264.72"
"2017","Both sexes","35 - 44 years","Galway","5571","7078","12649","3.2","17833","2","309.03"
"2017","Both sexes","45 - 54 years","Dublin City and County","12882","43686","56568","6.04","77843","2","337.75"
"2017","Both sexes","45 - 54 years","Kildare","2551","7132","9683","4.73","12057","2","306.59"
"2017","Both sexes","45 - 54 years","Limerick","2859","5123","7982","3.78","10813","1","313.51"
"2017","Both sexes","45 - 54 years","Galway","3056","9144","12200","4.94","15094","2","358.48"
"2017","Both sexes","55 - 64 years","Dublin City and County","15396","54782","70178","8.25","126965","3","527.55"
"2017","Both sexes","55 - 64 years","Kildare","3030","7984","11014","6.52","19761","3","489.16"
"2017","Both sexes","55 - 64 years","Limerick","3788","7822","11610","4.88","18500","2","522.69"
"2017","Both sexes","55 - 64 years","Galway","3753","12589","16342","5.81","21788","3","584.12"
"2017","Both sexes","65 - 74 years","Dublin City and County","18436","60528","78964","10.28","189483","4","823.56"
"2017","Both sexes","65 - 74 years","Kildare","3347","8671","12018","8.38","28059","4","798.11"
"2017","Both sexes","65 - 74 years","Limerick","4705","8250","12955","6.42","30191","3","758.22"
"2017","Both sexes","65 - 74 years","Galway","4525","13294","17819","7.68","34734","4","884.41"
"2017","Both sexes","75 - 84 years","Dublin City and County","17691","41870","59561","14.36","254104","6","1108.79"
"2017","Both sexes","75 - 84 years","Kildare","2695","6197","8892","10.48","28244","6","1443.98"
"2017","Both sexes","75 - 84 years","Limerick","3803","4571","8374","7.74","29424","4","940.37"
"2017","Both sexes","75 - 84 years","Galway","4217","8316","12533","10","42159","5","1166.08"
"2017","Both sexes","85 years and over","Dublin City and County","9643","11075","20718","18.28","176283","9","1100.79"
"2017","Both sexes","85 years and over","Kildare","1118","890","2008","14.47","16175","8","1039.34"
"2017","Both sexes","85 years and over","Limerick","1511","1148","2659","8.63","13038","6","949.3"
"2017","Both sexes","85 years and over","Galway","2194","2492","4686","13.41","29421","7","1164.51"
"2017","Both sexes","All ages","Dublin City and County","148899","302711","451610","7.38","1099526","3","334.17"
"2017","Both sexes","All ages","Kildare","27508","44311","71819","5.6","154128","2","314.83"
"2017","Both sexes","All ages","Limerick","30011","36216","66227","4.94","148293","2","336.2"
"2017","Both sexes","All ages","Galway","35930","62201","98131","5.54","199140","2","383.09"
"2017","Male","0 - 14 years","Dublin City and County","9811","7526","17337","3.85","37788","2","130.13"
"2017","Male","0 - 14 years","Kildare","1889","1432","3321","3.61","6818","2","118.51"
"2017","Male","0 - 14 years","Limerick","1955","1205","3160","3.79","7402","2","155.27"
"2017","Male","0 - 14 years","Galway","2565","1684","4249","3.42","8762","1","154.09"
"2017","Male","15 - 24 years","Dublin City and County","3105","5375","8480","4.03","12509","2","101.2"
"2017","Male","15 - 24 years","Kildare","649","705","1354","3.06","1987","1","91.57"
"2017","Male","15 - 24 years","Limerick","757","548","1305","3.11","2352","1","101.22"
"2017","Male","15 - 24 years","Galway","951","890","1841","2.74","2605","1","111.77"
"2017","Male","25 - 34 years","Dublin City and County","4307","10244","14551","4.57","19686","2","130.34"
"2017","Male","25 - 34 years","Kildare","682","986","1668","4.06","2768","2","122.31"
"2017","Male","25 - 34 years","Limerick","797","919","1716","3.57","2848","1","135.36"
"2017","Male","25 - 34 years","Galway","918","1654","2572","3.68","3374","1","162.87"
"2017","Male","35 - 44 years","Dublin City and County","5689","14364","20053","6.16","35050","2","180.73"
"2017","Male","35 - 44 years","Kildare","1004","1950","2954","4.1","4112","1","154.89"
"2017","Male","35 - 44 years","Limerick","1183","1838","3021","4.41","5213","1","202.14"
"2017","Male","35 - 44 years","Galway","1276","2945","4221","3.55","4530","1","211.36"
"2017","Male","45 - 54 years","Dublin City and County","6431","17772","24203","6.44","41438","2","296.06"
"2017","Male","45 - 54 years","Kildare","1319","2959","4278","5.24","6915","2","270.78"
"2017","Male","45 - 54 years","Limerick","1368","2487","3855","4.18","5719","1","300.35"
"2017","Male","45 - 54 years","Galway","1498","4004","5502","5.57","8349","2","325.08"
"2017","Male","55 - 64 years","Dublin City and County","7995","26827","34822","8.67","69356","3","546.24"
"2017","Male","55 - 64 years","Kildare","1671","4159","5830","6.88","11504","3","521.65"
"2017","Male","55 - 64 years","Limerick","1996","4433","6429","5.4","10785","2","574.12"
"2017","Male","55 - 64 years","Galway","2109","6595","8704","6.33","13358","3","624.84"
"2017","Male","65 - 74 years","Dublin City and County","9484","32923","42407","10.85","102914","5","938.48"
"2017","Male","65 - 74 years","Kildare","1857","5084","6941","8.56","15888","4","924.73"
"2017","Male","65 - 74 years","Limerick","2511","4774","7285","6.64","16662","4","866.85"
"2017","Male","65 - 74 years","Galway","2565","8230","10795","8.03","20596","4","1069.77"
"2017","Male","75 - 84 years","Dublin City and County","8341","21435","29776","14.21","118554","6","1287.72"
"2017","Male","75 - 84 years","Kildare","1391","4178","5569","10.2","14190","5","1958.16"
"2017","Male","75 - 84 years","Limerick","1830","2381","4211","7.96","14569","4","1028.08"
"2017","Male","75 - 84 years","Galway","2228","4940","7168","10.14","22588","5","1407.7"
"2017","Male","85 years and over","Dublin City and County","3515","5254","8769","17.83","62689","8","1422.38"
"2017","Male","85 years and over","Kildare","454","424","878","14.91","6768","8","1302.67"
"2017","Male","85 years and over","Limerick","548","500","1048","8.5","4659","6","1105.49"
"2017","Male","85 years and over","Galway","892","1364","2256","13.47","12011","7","1604.55"
"2017","Male","All ages","Dublin City and County","58678","141720","200398","8.52","499984","3","303.82"
"2017","Male","All ages","Kildare","10916","21877","32793","6.5","70950","2","288.88"
"2017","Male","All ages","Limerick","12945","19085","32030","5.42","70209","2","325.68"
"2017","Male","All ages","Galway","15002","32306","47308","6.41","96173","2","371.76"
"2017","Female","0 - 14 years","Dublin City and County","7782","5157","12939","4.19","32585","2","100.8"
"2017","Female","0 - 14 years","Kildare","1648","1017","2665","4.04","6659","2","100.17"
"2017","Female","0 - 14 years","Limerick","1554","796","2350","3.48","5407","2","122.01"
"2017","Female","0 - 14 years","Galway","1953","1240","3193","4.16","8131","1","121"
